build_Failed,gh_is_pr,git_prev_commit_resolution_status,gh_team_size,gh_num_commit_comments,git_diff_src_churn,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,gh_diff_tests_added,gh_diff_tests_deleted,gh_diff_src_files,gh_diff_doc_files,gh_diff_other_files,gh_sloc,gh_test_lines_per_kloc,gh_test_cases_per_kloc,gh_asserts_cases_per_kloc,tr_build_id,gh_build_started_at
1,0,0,2,0,99812,23490,670,87,484,0,298,736,33,31,29544,348.4971568,10.08665042,48.60546981,1647428,2012-06-18T14:49:30
0,0,0,2,0,130928,33691,793,123,566,0,468,866,33,39,32384,412.1170949,14.45158103,61.04866601,1651358,2012-06-18T23:22:07
0,0,1,2,0,210,6,33,0,10,0,0,25,16,10,32411,411.8046342,14.43954213,60.99780939,1654615,2012-06-19T11:59:01
1,0,1,2,0,0,0,0,0,1,0,0,0,0,1,32411,411.8046342,14.43954213,60.99780939,1660978,2012-06-20T01:48:34
0,0,1,1,0,0,2,0,0,2,0,0,1,0,1,32411,411.8046342,14.43954213,60.99780939,1664799,2012-06-20T13:13:03
0,0,1,1,0,51,5,0,0,5,0,0,5,0,0,32409,411.8609028,14.44043321,61.00157364,1670381,2012-06-21T01:49:52
0,0,1,1,0,7,368,0,0,6,0,2,6,0,0,32406,411.899031,14.47262853,61.00722089,1674413,2012-06-21T14:26:47
0,0,1,1,0,454,0,2,0,8,0,0,10,0,0,32615,409.2595432,14.37988656,60.61628085,1678971,2012-06-22T03:03:48
0,0,1,1,0,134,0,0,0,4,0,0,4,0,0,32614,409.2720917,14.38032747,60.61813945,1683014,2012-06-22T15:41:55
0,0,1,0,0,166,0,2,0,4,0,0,3,0,3,32688,408.3455702,14.34777288,60.48091043,1695472,2012-06-24T18:12:53
0,0,1,0,0,372,54,3,1,16,0,1,23,0,1,32858,407.0241646,14.30397468,60.53320348,1698704,2012-06-25T06:51:03
0,0,1,0,0,386,468,2,6,10,0,0,11,0,7,33104,402.0057999,14.19768004,60.08337361,1704275,2012-06-25T19:29:09
0,0,1,0,0,1010,0,9,1,3,0,0,13,0,0,33211,400.7106079,14.15193761,59.88979555,1708419,2012-06-26T08:06:51
0,0,1,0,0,1252,113,5,1,15,0,0,20,0,0,33350,398.9805097,14.09295352,59.49025487,1714789,2012-06-26T20:51:30
