build_Failed,gh_is_pr,git_prev_commit_resolution_status,gh_team_size,gh_num_commit_comments,git_diff_src_churn,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,gh_diff_tests_added,gh_diff_tests_deleted,gh_diff_src_files,gh_diff_doc_files,gh_diff_other_files,gh_sloc,gh_test_lines_per_kloc,gh_test_cases_per_kloc,gh_asserts_cases_per_kloc,tr_build_id,gh_build_started_at
1,0,0,21,4,980135,68991,2910,407,1822,0,0,2225,11,739,177953,205.8352486,9.12038572,49.89519705,343348,2011-11-26T06:17:40
1,0,1,21,129,152806,63943,361,84,1575,0,0,1622,18,200,375237,375.5839643,24.07012102,100.6217404,343364,2011-11-26T06:28:45
1,0,1,21,0,0,0,0,0,2,0,0,0,0,2,375237,375.5839643,24.07012102,100.6217404,343376,2011-11-26T06:35:49
0,0,1,21,0,0,0,0,0,2,0,0,0,0,2,375237,375.5839643,24.07012102,100.6217404,343388,2011-11-26T06:42:39
0,0,1,21,0,39,30,0,0,5,0,0,4,0,1,375238,375.5749684,24.07005687,100.6214722,344306,2011-11-26T16:21:36
0,0,1,21,0,27,0,0,0,3,0,0,1,0,2,375249,375.5639589,24.06935128,100.6185226,345292,2011-11-26T21:00:36
0,0,1,21,0,2,0,0,0,1,0,0,1,0,0,375249,375.5639589,24.06935128,100.6185226,345322,2011-11-26T21:04:33
0,0,1,21,0,0,0,0,0,2,0,0,0,0,2,375249,375.5639589,24.06935128,100.6185226,345757,2011-11-26T23:53:48
0,0,1,21,0,0,1,0,0,1,0,0,1,0,0,375249,375.5666238,24.06935128,100.6185226,346105,2011-11-27T03:56:32
0,0,1,21,0,0,0,0,0,2,0,0,0,0,2,375249,375.5666238,24.06935128,100.6185226,346146,2011-11-27T04:32:34
0,0,1,21,0,0,0,0,0,2,0,0,0,0,2,375249,375.5666238,24.06935128,100.6185226,346167,2011-11-27T04:56:32
0,0,1,21,0,0,2,0,0,1,0,0,1,0,0,375249,375.5666238,24.06935128,100.6185226,346205,2011-11-27T05:21:33
0,0,1,21,0,2,0,0,0,1,0,0,1,0,0,375249,375.5666238,24.06935128,100.6185226,346243,2011-11-27T06:25:36
0,0,1,21,0,0,0,0,0,1,0,0,0,0,1,375249,375.5666238,24.06935128,100.6185226,346287,2011-11-27T06:53:31
0,0,1,21,0,0,0,0,0,2,0,0,0,0,2,375249,375.5666238,24.06935128,100.6185226,346323,2011-11-27T07:18:33
0,0,1,21,0,4,0,0,0,3,0,0,1,0,2,375249,375.5666238,24.06935128,100.6185226,346342,2011-11-27T08:25:35
0,0,1,21,0,0,0,0,0,1,0,0,0,0,1,375249,375.5666238,24.06935128,100.6185226,346345,2011-11-27T08:28:32
0,0,1,21,0,0,0,0,0,2,0,0,0,0,2,375249,375.5666238,24.06935128,100.6185226,346444,2011-11-27T09:28:30
